日期,隊伍,round1,round2,round3,round4
2019-01-01,溜馬,33,30,34,19
2019-01-01,老鷹,25,35,21,27
2019-01-01,黄蜂,36,27,32,30
2019-01-01,魔術,23,30,24,23
2019-01-01,火箭,27,34,25,27
2019-01-01,灰熊,18,20,35,28
2019-01-01,馬刺,17,29,46,28
2019-01-01,塞爾蒂克,23,29,30,29
2019-01-01,鵜鶘,27,36,25,35
2019-01-01,灰狼,22,29,38,25
2019-01-01,雷霆,32,28,32,30
2019-01-01,獨行俠,21,22,32,27
2019-01-01,太陽,27,25,35,22
2019-01-01,勇士,31,38,39,24
2019-01-02,暴龍,26,25,44,27
2019-01-02,爵士,24,29,32,31
2019-01-02,公鹿,35,33,24,29
2019-01-02,活塞,27,25,21,25
2019-01-02,金塊,28,27,27,33
2019-01-02,尼克,32,24,28,24
2019-01-02,國王,25,25,27,26
2019-01-02,拓荒者,26,38,19,20
2019-01-02,快艇,28,30,30,25
2019-01-02,76人,41,35,25,18
2019-01-03,黄蜂,26,15,24,19
2019-01-03,獨行俠,42,23,29,28
2019-01-03,騎士,23,20,30,19
2019-01-03,熱火,22,36,35,24
2019-01-03,巫師,35,29,24,26
2019-01-03,老鷹,29,24,31,14
2019-01-03,籃網,39,34,32,21
2019-01-03,鵜鶘,29,29,29,34
2019-01-03,塞爾蒂克,25,35,27,28
2019-01-03,灰狼,21,21,39,21
2019-01-03,公牛,16,29,17,22
2019-01-03,魔術,32,30,28,22
2019-01-03,灰熊,24,31,12,27
2019-01-03,活塞,26,25,21,29
2019-01-03,太陽,32,17,38,40
2019-01-03,76人,44,28,32,28
2019-01-03,湖人,25,32,25,18
2019-01-03,雷霆,25,34,19,29
2019-01-04,馬刺,38,29,29,29
2019-01-04,暴龍,19,32,24,32
2019-01-04,國王,30,36,18,29
2019-01-04,金塊,30,23,31,33
2019-01-04,勇士,34,36,28,21
2019-01-04,火箭,22,31,39,27
2019-01-05,騎士,20,29,22,20
2019-01-05,爵士,23,25,33,36
2019-01-05,塞爾蒂克,34,24,26,30
2019-01-05,獨行俠,23,28,17,25
2019-01-05,熱火,31,30,34,20
2019-01-05,巫師,24,34,28,23
2019-01-05,公牛,30,28,20,27
2019-01-05,溜馬,18,36,21,30
2019-01-05,灰熊,26,21,30,23
2019-01-05,籃網,26,22,33,28
2019-01-05,灰狼,31,33,31,25
2019-01-05,魔術,40,28,17,18
2019-01-05,公鹿,43,33,42,26
2019-01-05,老鷹,14,29,36,33
2019-01-05,太陽,19,25,34,33
2019-01-05,快艇,38,30,23,30
2019-01-05,湖人,25,34,33,20
2019-01-05,尼克,39,24,23,33
2019-01-05,拓荒者,28,34,25,22
2019-01-05,雷霆,28,29,36,18
